crash_date,case_id,crash_id,lat,lon,geocoded,fatality,serious_injury
2014-04-25,132310421,13852866,30.29453,-97.72033,Here,,Y
2013-09-14,131601110,13452936,30.30779,-97.74125,Here,,Y
2013-08-17,13-1521534,13448964,30.26759,-97.74299,Here,,Y
2013-03-11,13-1930454,13190409,30.26759,-97.74299,Here,,Y
2013-08-19,13-0281453,13419697,38.66955,-112.11125,Here,,Y
2013-06-09,140401243,13416997,30.18669,-97.75814,Here,,Y
2013-06-01,141591163,13393166,30.35019,-97.68785,Here,,Y
2013-07-12,141560852,13389507,30.22135,-97.83949,Here,,Y
2013-01-28,141521357,13110063,30.363356,-97.69702,Here,,Y
2014-02-09,130151610,13699854,30.31418,-97.67355,Here,,Y
2014-06-08,121310005,13891647,30.255234,-97.804208,Here,,Y
2014-06-06,131371464,13891150,30.39223,-97.67512,Here,,Y
2014-06-01,13-0061479,13889541,30.32923,-97.65893,Here,,Y
2013-01-15,132821486,13094558,30.352559,-97.686507,Here,,Y
2012-05-10,13-1341242,12738012,30.289999,-97.66453,Here,,Y
2013-05-17,131531199,13292026,30.24666,-97.77846,Here,,Y
2013-01-06,12-3370509,13079785,30.41804,-97.67123,Here,,Y
2013-10-09,130491265,13559527,30.517748,-97.694692,Here,,Y
2013-05-14,11-0360998,13326870,30.26759,-97.74299,Here,,Y
2013-06-02,12-1250759,13312202,30.48807,-97.77122,Here,,Y
2013-03-08,12-1170932,13230143,30.23597,-97.71858,Here,,Y
2012-12-02,12-114-1231,13144257,30.30336,-97.66175,Here,,Y
2013-02-18,2012-1140982,12776462,30.19738,-97.78333,Here,,Y
2011-02-05,140531676,12686887,30.24447,-97.86164,Here,,Y
2012-04-30,123331372,12678099,30.429472,-97.701848,Here,,Y
2012-05-04,123320555,12677904,30.3752,-97.63078,Here,,Y
2012-04-26,122091159,12677894,30.26289,-97.74155,Here,,Y
2012-04-23,121401411,13718585,30.26759,-97.74299,Here,,Y
2012-04-23,12-0860823,13018995,30.394659,-97.734056,Here,,Y
2014-02-22,11-0781089,13018833,30.216327,-97.813238,Here,,Y
2012-11-28,120951532,12862911,30.31267,-97.66286,Here,,Y
2012-11-27,12-11754,12706279,30.37114,-97.72065,Here,,Y
2012-07-27,122221659,12705805,30.257371,-97.800768,Here,,Y
2012-05-19,12-2000282,12834829,30.1559,-97.80271,Here,,Y
2012-03-26,121930171,12832866,30.26759,-97.74299,Here,,Y
2011-03-19,123020999,12699359,30.42005,-97.78985,Here,,Y
2012-04-04,122960973,12848077,30.34887,-97.68522,Here,,Y
2012-05-19,12-0170795,12806355,30.449595,-97.72388,Here,,Y
2012-08-09,12-1770431,12793660,30.28262,-97.74507,Here,,Y
2012-07-18,122220749,12979099,30.28686,-97.74298,Here,,Y
2012-07-11,13-0840189,12963979,30.32931,-97.69187,Here,,Y
2012-10-28,13-1321056,12510455,30.35598,-97.69122,Here,,Y
2012-10-22,123190597,12803767,30.31637,-97.71276,Here,,Y
2012-01-17,123432061,13203800,30.32161,-97.68009,Here,,Y
2012-06-25,12-3421355,13203493,30.26759,-97.74299,Here,,Y
2012-08-09,11-1361768,13302404,30.26759,-97.74299,Here,,Y
2013-03-25,120081171,13138265,32.78227,-96.66312,Here,,Y
2013-05-12,122660514,13029535,30.36487,-97.75033,Here,,Y
2012-11-14,121980694,13029506,30.20941,-97.88225,Here,,Y
2012-12-08,12-2201223,12289529,30.192947,-97.765271,Here,,Y
2012-12-07,120161035,12152992,30.44145,-97.74253,Here,,Y
2011-09-28,120121538,12614306,30.233043,-97.800955,Here,,Y
2011-05-16,120862086,12963752,30.45929,-97.79255,Here,,Y
